S;BKE022508SES00000004;BKE022508INV00000008;59000;BKE02;0;0;2;17CR2V20B40ANGGAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;60000;BKE02;0;0;2;17CR2V20B40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;61000;BKE02;0;0;2;17CR2V20B60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;62000;BKE02;0;0;2;17CR2V20B80GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;63000;BKE02;0;0;2;17CR2V20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;64000;BKE02;0;0;2;17PL06GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;65000;BKE02;0;0;2;17PL07GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;66000;BKE02;0;0;2;17PL10GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;67000;BKE02;0;0;2;17PL10X20X50B80GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;68000;BKE02;0;0;2;17PL10X20X50GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;69000;BKE02;0;0;2;17PL152/6A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;70000;BKE02;0;0;2;17PL15A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;71000;BKE02;0;0;2;17PL15B120GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;72000;BKE02;0;0;2;17PL15B80GAM;;A;UN;485;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;73000;BKE02;0;0;2;17PL15GAM;;A;UN;434;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;74000;BKE02;0;0;2;17PL15L40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;75000;BKE02;0;0;2;17PL15L50GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;76000;BKE02;0;0;2;17PL202/6A65040GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;77000;BKE02;0;0;2;17PL202/6A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;78000;BKE02;0;0;2;17PL20B120GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;79000;BKE02;0;0;2;17PL20B40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;80000;BKE02;0;0;2;17PL20B60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;81000;BKE02;0;0;2;17PL20B80A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;82000;BKE02;0;0;2;17PL20B80GAM;;A;UN;626,22618;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;83000;BKE02;0;0;2;17PL20GAM;;A;UN;545;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;84000;BKE02;0;0;2;17PL20L40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;85000;BKE02;0;0;2;21HALP202/6A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;86000;BKE02;0;0;2;21HALPH07GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;87000;BKE02;0;0;2;21HALPH12A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;88000;BKE02;0;0;2;21HALPH12GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;89000;BKE02;0;0;2;21HALPH16A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;90000;BKE02;0;0;2;21HALPH16GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;91000;BKE02;0;0;2;21HALPH16L53GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;92000;BKE02;0;0;2;21HALPH20A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;93000;BKE02;0;0;2;21HALPH20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;94000;BKE02;0;0;2;21HALPH252/6GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;95000;BKE02;0;0;2;21HALPH25GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;96000;BKE02;0;0;2;21HALPH30GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;97000;BKE02;0;0;2;22NV200GAM;;A;M;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;98000;BKE02;0;0;2;22NV235GAM;;A;M;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;99000;BKE02;0;0;2;22NV280GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;100000;BKE02;0;0;2;22NV330GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;101000;BKE02;0;0;2;22NV335GAM;;A;M;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;102000;BKE02;0;0;2;22NV350GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;103000;BKE02;0;0;2;22NV355GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;104000;BKE02;0;0;2;22NV400GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;105000;BKE02;0;0;2;22NV455GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;106000;BKE02;0;0;2;22NV460GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;107000;BKE02;0;0;2;22NV480GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;108000;BKE02;0;0;2;22NV525GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;109000;BKE02;0;0;2;22NV545GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;110000;BKE02;0;0;2;22NV610GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;111000;BKE02;0;0;2;22NV675GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;112000;BKE02;0;0;2;22NV680GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;113000;BKE02;0;0;2;22NV685GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;114000;BKE02;0;0;2;22NV700A/BGAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;115000;BKE02;0;0;2;22NV750GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;116000;BKE02;0;0;2;23HT15A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;117000;BKE02;0;0;2;23HT15GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;118000;BKE02;0;0;2;23HT20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;119000;BKE02;0;0;2;26ASSIN10X20X40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;120000;BKE02;0;0;2;26CH40X50X202/6GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;121000;BKE02;0;0;2;26CH40X50X20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;122000;BKE02;0;0;2;26CH40X50X20GDRGAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;123000;BKE02;0;0;2;26CL30X30X15T1GAM;;A;UN;0;BKE2;
